No,ID,Last name,First name,Gender,Date of Birth ,Social ID,Password
1,19222222,Tran,ThaTha,Male,1/1/2003,1,123
2,19222223,Thi,Chinh,Male,1/2/2003,2,123
3,19222224,Le Thi,Anh,Male,1/3/2003,3,123
4,19222225,Truong Hai,Yen,Male,1/4/2003,4,123
5,19222226,Hong Thanh,Huong,Male,1/5/2003,5,123
6,19222227,Mac Dinh,Chinh,Male,1/6/2003,6,123
7,19222228,Chinh,Truc,Female,1/7/2003,7,123
8,19222229,Nguyen,Son,Female,1/8/2003,8,123
9,19222230,Phan Thi,Diem,Female,1/9/2003,9,123
10,19222231,Phan Thi,Quynh,Female,1/10/2003,10,123
